"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A→B","Bytes A→B","Packets A←B","Bytes A←B","Rel Start","Duration","bps A→B","bps A←B"
"1.1.2.3","41072","5.6.7.8","http","16","6230","9","718","7","5512","0.000000000","0.6773","8481.36","65110.37"
"1.1.2.3","41073","5.6.7.8","http","22","11341","12","916","10","10425","0.596235000","0.0050","1468242.84","16710078.14"
"1.1.2.3","41074","5.6.7.8","http","12","2984","7","586","5","2398","0.699019000","0.0039","1189244.04","4866565.20"
"1.1.2.3","41075","5.6.7.8","http","20","9633","11","850","9","8783","1.118460000","0.0046","1472817.85","15218540.18"
"1.1.2.3","41076","5.6.7.8","http","20","9049","11","850","9","8199","1.169217000","0.0045","1501766.78","14485865.72"
"1.1.2.3","41077","5.6.7.8","http","18","7890","10","784","8","7106","1.310346000","0.0042","1504076.74","13632613.91"
"1.1.2.3","41078","5.6.7.8","http","20","9216","11","850","9","8366","1.374483000","0.0041","1667484.06","16411966.65"
"1.1.2.3","41079","5.6.7.8","http","16","6111","9","718","7","5393","1.485197000","0.0037","1537884.87","11551271.75"
"1.1.2.3","41080","5.6.7.8","http","18","7783","10","784","8","6999","1.672451000","0.0038","1638453.50","14626959.25"
"1.1.2.3","41081","5.6.7.8","http","22","10725","12","916","10","9809","1.996665000","0.0046","1597906.67","17111208.02"
"1.1.2.3","41082","5.6.7.8","http","12","2701","7","586","5","2115","2.109033000","0.0034","1384524.51","4997046.66"
"1.1.2.3","41083","5.6.7.8","http","20","8824","11","850","9","7974","2.745376000","0.0042","1635795.04","15345681.98"
"1.1.2.3","41084","5.6.7.8","http","18","7637","10","784","8","6853","2.757389000","0.0039","1618580.65","14148129.03"
"1.1.2.3","41085","5.6.7.8","http","22","10317","12","916","10","9401","3.277738000","0.0041","1774334.14","18210169.49"
"1.1.2.3","41086","5.6.7.8","http","22","11606","12","916","10","10690","3.553427000","0.0041","1768339.77","20637065.64"
"1.1.2.3","41087","5.6.7.8","http","18","8514","10","784","8","7730","3.955617000","0.0041","1530502.68","15090287.95"
"1.1.2.3","41088","5.6.7.8","http","12","3039","7","586","5","2453","3.990845000","0.0035","1353739.53","5666762.92"
"1.1.2.3","41089","5.6.7.8","http","16","5759","9","718","7","5041","4.032618000","0.0037","1564696.27","10985562.52"
"1.1.2.3","41090","5.6.7.8","http","12","3502","7","586","5","2916","4.284501000","0.0036","1309131.53","6514381.46"
"1.1.2.3","41091","5.6.7.8","http","12","2704","7","586","5","2118","4.310247000","0.0034","1361603.25","4921289.57"
"1.1.2.3","41092","5.6.7.8","http","18","8397","10","784","8","7613","4.753595000","0.0040","1559035.55","15138951.03"
"1.1.2.3","41093","5.6.7.8","http","14","4942","8","652","6","4290","4.806681000","0.0036","1448084.40","9528039.98"
"1.1.2.3","41094","5.6.7.8","http","16","5567","9","718","7","4849","4.935108000","0.0143","403087.72","2722245.61"
"1.1.2.3","41095","5.6.7.8","http","20","9080","11","850","9","8230","5.016794000","0.0040","1681087.76","16276885.04"
"1.1.2.3","41096","5.6.7.8","http","14","4458","8","652","6","3806","5.415128000","0.0037","1403659.85","8193756.73"
"1.1.2.3","41097","5.6.7.8","http","18","7951","10","784","8","7167","5.782489000","0.0040","1585840.71","14497092.29"
"1.1.2.3","41098","5.6.7.8","http","12","3036","7","586","5","2450","5.801916000","0.0033","1400657.31","5855990.44"
"1.1.2.3","41099","5.6.7.8","http","22","11367","12","916","10","10451","6.064057000","0.0041","1773904.62","20239167.27"
"1.1.2.3","41100","5.6.7.8","http","16","6057","9","718","7","5339","6.481830000","0.0040","1444304.75","10739753.58"
"1.1.2.3","41101","5.6.7.8","http","16","5534","9","718","7","4816","6.795398000","0.0036","1574561.40","10561403.51"
"1.1.2.3","41102","5.6.7.8","http","18","7841","10","784","8","7057","6.987013000","0.0040","1579053.37","14213494.46"
"1.1.2.3","41103","5.6.7.8","http","14","4491","8","652","6","3839","7.268230000","0.0037","1391304.35","8192051.21"
